n,time
100000,0.054951
200000,0.0528418
300000,0.0608702
400000,0.1023706
500000,0.2214654
600000,0.1924861
700000,0.2065079
800000,0.2456907
900000,0.4366251
1000000,0.5575856
1100000,0.2808913
1200000,0.5082167
1300000,0.4487835
1400000,0.4487835
1500000,0.481459
1600000,0.4133561
1700000,0.8941436
1800000,0.8965139
1900000,0.8659663
2000000,0.7658754
2100000,0.8183802
2200000,0.8841121
2300000,0.7835464
2400000,1.0330644
2500000,1.1766361
2600000,1.1367765
2700000,1.1934042
2800000,1.3564973
2900000,1.2767638
3000000,1.3703919
3100000,1.3023098
3200000,1.298155
3300000,1.3960932
3400000,1.4067962
3500000,1.4388027
3600000,1.5026953
3700000,1.6120103
3800000,1.5789202
3900000,1.6672483
4000000,1.6793809
4100000,1.8065718
4200000,2.0452773
4300000,2.0304457
4400000,2.0161283
4500000,2.0140125
4600000,2.0008958
4700000,2.184987
4800000,2.424349
4900000,2.3500042
5000000,2.3522684
