size,time(s)
100000,0.00313967
200000,0.00558851
300000,0.00810291
400000,0.00968131
500000,0.01313976
600000,0.01645234
700000,0.01842284
800000,0.02380378
900000,0.0259614
1000000,0.03093438
1100000,0.0335138
1200000,0.03664444
1300000,0.03868245
1400000,0.03984547
1500000,0.04206543
1600000,0.04445849
1700000,0.04741135
1800000,0.04994924
1900000,0.05175006
2000000,0.05308296
2100000,0.0560804
2200000,0.05813264
2300000,0.06611651
2400000,0.06793349
2500000,0.07291749
2600000,0.07492304
2700000,0.07633568
2800000,0.08066339
2900000,0.08355629
3000000,0.08712938
3100000,0.0978522
3200000,0.09983849
3300000,0.10141057
3400000,0.10726936
3500000,0.11196808
3600000,0.11415445
3700000,0.11553983
3800000,0.12146941
3900000,0.12712217
4000000,0.12915735
4100000,0.12373188
4200000,0.12866034
4300000,0.13339548
4400000,0.13926454
4500000,0.13969652
4600000,0.14065797
4700000,0.14552446
4800000,0.13469528
4900000,0.13727369
5000000,0.14381233
